Price,Close,High,Low,Open,Volume
Ticker,CF,CF,CF,CF,CF
Date,,,,,
2025-01-28,89.696044921875,90.14327978596627,88.58291675932603,88.78169370758401,1827100
2025-01-29,91.95211029052734,92.04156181481045,89.32831517755952,90.36193258305676,2119500
2025-01-30,91.63407897949219,92.53849709451846,90.93837856990719,91.46512424895951,1464600
2025-01-31,91.6440200805664,92.13101036917482,90.8986235320049,91.47506534937492,1595500
2025-02-03,91.90242004394531,92.04156011687186,88.82144937082629,90.67996645173031,1613700
2025-02-04,93.5124740600586,94.05910120547537,92.02168102626611,92.24033188443282,1439200
2025-02-05,89.12954711914062,92.82671508251745,88.92083700282943,92.7173896526546,3068800
2025-02-06,83.60367584228516,89.54696647494909,82.39116296481737,89.54696647494909,5933300
2025-02-07,83.53410339355469,84.34906992303772,82.94772087581157,83.48440726096848,2577100
2025-02-10,86.46599578857422,86.86354211331064,84.2795023763721,84.53790104227012,2901300
2025-02-11,84.55778503417969,86.7939746466893,84.21986799424407,86.24734748616068,2339900
2025-02-12,80.68171691894531,84.11053776278503,78.37595739780483,83.94158304374064,5855100
2025-02-13,80.95999908447266,81.13889455103318,79.70773081854904,80.5922674080523,3250400
2025-02-14,82.4800033569336,83.69000244140625,81.4800033569336,81.79000091552734,2192100
2025-02-18,83.22000122070312,83.6500015258789,81.9800033569336,82.47000122070312,2370100
2025-02-19,83.80999755859375,84.30999755859375,81.79000091552734,81.79000091552734,2632800
2025-02-20,80.26000213623047,85.30999755859375,79.5999984741211,82.80999755859375,4674000
2025-02-21,77.9000015258789,80.97000122070312,77.8499984741211,79.66999816894531,4041500
2025-02-24,77.51000213623047,79.0,77.20999908447266,79.0,3209400
2025-02-25,78.41000366210938,79.19999694824219,77.62999725341797,77.9000015258789,3375700
2025-02-26,77.77999877929688,78.66000366210938,77.4800033569336,78.36000061035156,2383000
2025-02-27,79.58000183105469,79.95999908447266,78.0199966430664,78.41999816894531,2273000
2025-02-28,81.0199966430664,81.62999725341797,78.20999908447266,79.45999908447266,4171700
2025-03-03,77.97000122070312,82.27999877929688,77.5,81.69999694824219,3395600
2025-03-04,75.27999877929688,77.75,75.05000305175781,77.5,4660700
2025-03-05,76.30999755859375,77.16000366210938,74.52999877929688,75.69999694824219,3355100
2025-03-06,76.61000061035156,78.1500015258789,76.33999633789062,76.41999816894531,3032800
2025-03-07,77.12999725341797,78.72000122070312,75.25,77.0199966430664,3520400
2025-03-10,77.0999984741211,78.41999816894531,76.5999984741211,77.2300033569336,2434900
2025-03-11,76.83000183105469,78.63999938964844,76.33000183105469,77.2699966430664,3502400
2025-03-12,77.70999908447266,79.06999969482422,76.61000061035156,77.11000061035156,2653300
2025-03-13,76.81999969482422,78.3499984741211,75.55000305175781,76.73999786376953,2715200
2025-03-14,76.62999725341797,77.80000305175781,75.9800033569336,77.16000366210938,2615300
2025-03-17,77.7300033569336,78.12999725341797,76.51000213623047,76.55000305175781,2008400
2025-03-18,76.4000015258789,78.47000122070312,75.5999984741211,77.94999694824219,2389600
2025-03-19,77.37000274658203,78.19999694824219,76.36000061035156,76.81999969482422,2331100
2025-03-20,76.91999816894531,77.81999969482422,75.87000274658203,77.0199966430664,2211100
2025-03-21,76.77999877929688,77.12999725341797,76.01000213623047,76.68000030517578,7513400
2025-03-24,76.83000183105469,77.2699966430664,75.58999633789062,76.87999725341797,1894400
2025-03-25,75.02999877929688,77.0999984741211,73.69999694824219,76.68000030517578,2988800
2025-03-26,76.63999938964844,76.87999725341797,74.94000244140625,75.0,2480000
2025-03-27,77.9800033569336,78.08000183105469,76.0,76.44999694824219,1462600
2025-03-28,77.38999938964844,78.05000305175781,76.87000274658203,77.88999938964844,1256400
2025-03-31,78.1500015258789,78.68000030517578,76.19999694824219,76.68000030517578,1849600
2025-04-01,79.58999633789062,79.63999938964844,77.2300033569336,78.44999694824219,1746100
2025-04-02,79.83000183105469,79.83000183105469,78.9000015258789,79.0,1885200
2025-04-03,79.86000061035156,81.23999786376953,76.83000183105469,76.95999908447266,3534400
2025-04-04,73.06999969482422,78.45999908447266,72.08000183105469,78.45999908447266,4001500
2025-04-07,72.04000091552734,75.61000061035156,70.51000213623047,72.33000183105469,3004600
2025-04-08,68.47000122070312,73.91999816894531,67.33999633789062,73.88999938964844,4909700
2025-04-09,70.5,73.18000030517578,67.48999786376953,67.86000061035156,5013400
2025-04-10,69.97000122070312,71.16000366210938,68.9000015258789,70.23999786376953,3846200
2025-04-11,72.0,73.20999908447266,69.0199966430664,69.0199966430664,3064900
2025-04-14,72.41000366210938,72.9000015258789,71.45999908447266,72.51000213623047,2643600
2025-04-15,73.12000274658203,73.75,72.08999633789062,72.08999633789062,2245000
2025-04-16,74.0999984741211,75.30000305175781,73.31999969482422,73.41999816894531,3258200
2025-04-17,74.9000015258789,75.38999938964844,74.33999633789062,74.33999633789062,2282800
2025-04-21,75.12999725341797,75.97000122070312,74.06999969482422,74.4800033569336,1426500
2025-04-22,75.54000091552734,75.66000366210938,73.55999755859375,74.83000183105469,1722000
2025-04-23,75.88999938964844,77.01000213623047,74.79000091552734,76.12999725341797,1407300
2025-04-24,77.30000305175781,77.54000091552734,76.16999816894531,77.0199966430664,1620200
2025-04-25,78.47000122070312,78.58999633789062,76.80000305175781,77.2300033569336,1882800
